stopId,stopName
1620,Eastbound NW 39th Avenue @ NW 10th Street
740,Stephen Foster Elementary School @ 39th Ave
741,Gainesville Public Works
742,Bella Vista Village (across)
743,Pine Forest Homes
744,Wade Raulerson Honda Dealership
745,Highland Court Manor
746,Eden Park Apartments
747,Quick Mart @ NE 15th Street
748,Fearnside Family Services Center
749,Village Green Apartments
750,Southbound NE 15th St
751,Southbound NE 15th St
752,NE 15th St @ NE 26th AVE
753,Smokey Bear Park
754,NE 23rd Ave Farside NE 14th St Westbound
755,Highland Court Manor
756,Westbound NE 23rd AVE @ NE 9th ST
757,Pointe 23 Apartments
758,David's BBQ
759,Pine Grove Apartments
760,Laundry Mart
761,Sandwich Inn @ NE 16th Ave
762,Midas @ N Main Street
763,Publix @ N Main Street
764,Gainesville Shopping Center South
765,Gainesville Shopping Center South
766,Fire Stone @ N Main Street
767,Southbound N Main Street @ NE 6th Avenue
768,Friends of the Library Alachua County
769,The Collier Companies
770,SCP Distributors
771,Gator Fire Equipment
772,Classic Car Cleaners
773,Arbor Park Apartments
774,Treehouse Village Apartments
775,Sweetwater on 16th Apartments
776,Spring Hill Church
777,Sugarhill Neighborhood @ Williston Road
778,Sugarhill Neighborhood @ SE 1st Terrace
779,Sugarhill Neighborhood @ SE 19th Avenue
780,Sugarhill Neighborhood @ SE 20th Place
781,Sugarhill Neighborhood @ SE 20th Place
782,Boys & Girls Club of Alachua County
783,Chevron Gas Station @ Williston Road
784,Southbound Williston Road @ SE 1st Terrace
785,Springhill Baptist Church
786,Sweetwater on 16th Apartments (across)
787,Treehouse Village Apartments
788,Winn Dixie @ SW 16th Avenue
789,Sun Bay Apartments
790,Parklands Rehab & Nursing Center
791,Oakbrook Walk Condominiums @ SW 16th Avenue
792,Backstage Lounge
793,Suncoast Design Center
794,Sai Quick Stop
795,The Retreat Apartments
796,Sun Bay Apartments
797,Hume Hall
798,Sigma Alpha Epsilon
799,Lake Alice Field
800,Corry Village
801,Baughman Center
802,Lakeside Apartments
803,UF Counseling and Wellness Center
804,Family Housing
805,University Village Field
806,Southwest Recreation Center
807,University Village South Apartments
808,Hilton University of Florida Conference Center
809,Hilton University of Florida Conference Center
810,Windsor Terrace Apartments
811,Pinnacle Point Apartments
812,University Terrace West Apartments
813,Kensington Apartments North
814,Pinetree Gardens
815,Circle K SW 20th Ave Westbound
816,Canopy Apartments
817,Cabana Beach Apartments
818,The WOODlands Apartments
819,RockWOOD Villas Apartments
820,Spyglass Apartments
821,Cypress Pointe Apartments
822,Palm Garden of Gainesville
823,Hampton Oaks Apartments
824,Hampton Oaks Apartments
825,Fairmont Oaks Apartments
826,Cypress Pointe Apartments
827,LakeWOOD Villas Apartments
828,RockWOOD Villas Apartments
829,The District Apartments
830,Cabana Beach Apartments
831,Forest Park Apartments
832,Liv Apartments
833,Addison Lane
834,Mill Run Condominiums
835,Kensington Apartments South
836,Courtney Greens Apartments
837,Southwest Villas Apartments
838,West 20 Apartments
839,Florida Department Of Agriculture
840,Hilton University of Florida Conference Center
841,Harn Museum
842,Southwest Recreation Center
843,Southwest Softball Court
844,Maguire Field
845,Lakeside Residential Complex
846,Lakeside Residential Complex
847,Corry Village
848,Lake Alice Field
849,Hume Hall
850,GRU Administration Building
851,Eastbound SE 4th Avenue @ SE 8th Street
852,Triangle Club
853,Northbound SE 11th Street @ SE 2nd Avenue
854,CVS @ Waldo Road
855,Walgreens @ NE 3rd Avenue
856,UF Health Family Medicine Eastside (across)
857,Episcopal Children's Services (across)
858,Lakeside Housing Complex
859,Cabana Beach Apartments
